mmrrc_id	availability
71060	Cryo-archive
71059	Cryo-archive
71058	Cryo-archive
71057	Cryo-archive
71056	Cryo-archive
71055	Cryo-archive
71054	Cryo-archive
71053	Cryo-archive
71052	Cryo-archive
71051	Cryo-archive
71050	Cryo-archive
71049	Cryo-archive
71048	Cryo-archive
71047	Cryo-archive
71046	Cryo-archive
71045	Cryo-archive
71044	Cryo-archive
71043	Cryo-archive
71042	Cryo-archive
71041	Cryo-archive
71040	Cryo-archive
71039	Cryo-archive
71038	Cryo-archive
71037	Cryo-archive
71036	Cryo-archive
71035	Cryo-archive
71034	Cryo-archive
71033	Cryo-archive
71032	Cryo-archive
71031	Cryo-archive
71030	Cryo-archive
71029	Cryo-archive
71028	Cryo-archive
71027	Cryo-archive
71026	Cryo-archive
71025	Cryo-archive
71024	Cryo-archive
71023	Cryo-archive
71022	Cryo-archive
71021	Cryo-archive
71020	Cryo-archive
71019	Cryo-archive
71018	Cryo-archive
71017	Cryo-archive
71016	Cryo-archive
71015	Cryo-archive
71014	Cryo-archive
71013	Cryo-archive
71012	Cryo-archive
71011	Cryo-archive
71010	Cryo-archive
71009	Cryo-archive
71008	Cryo-archive
71007	Cryo-archive
71006	Cryo-archive
71005	Cryo-archive
71004	Cryo-archive
71003	Cryo-archive
71002	Cryo-archive
71001	Cryo-archive
71000	Cryo-archive
70999	Cryo-archive
70998	Cryo-archive
70997	Cryo-archive
70996	Cryo-archive
70995	Cryo-archive
70994	Cryo-archive
70993	Cryo-archive
70992	Cryo-archive
70991	Cryo-archive
70990	Cryo-archive
70989	Cryo-archive
70988	Cryo-archive
70987	Cryo-archive
70986	Cryo-archive
70985	Cryo-archive
70984	Cryo-archive
70983	Cryo-archive
70982	Cryo-archive
70981	Cryo-archive
70980	Cryo-archive
70979	Cryo-archive
70978	Cryo-archive
70977	Currently Unavailable
70976	Currently Unavailable
70975	Currently Unavailable
70974	Currently Unavailable
70973	Breeder pairs
70972	Cryo-archive
70971	Cryo-archive
70970	Cryo-archive
70969	Cryo-archive
70968	Currently Unavailable
70967	Currently Unavailable
70966	Currently Unavailable
70965	Cryo-archive
70964	Breeder pairs
70963	Cryo-archive
70962	Breeder pairs
70961	Currently Unavailable
70960	Cryo-archive
70959	Breeder pairs
70958	Breeder pairs
70957	Cryo-archive
70956	Cryo-archive
70955	Currently Unavailable
70954	Cryo-archive
70953	Breeder pairs
70952	Cryo-archive
70951	Currently Unavailable
70950	Currently Unavailable
70949	Currently Unavailable
70948	Currently Unavailable
70947	Currently Unavailable
70946	Currently Unavailable
70945	Currently Unavailable
70944	Currently Unavailable
70943	Currently Unavailable
70942	Currently Unavailable
70941	Currently Unavailable
70940	Currently Unavailable
70939	Currently Unavailable
70938	Currently Unavailable
70937	Currently Unavailable
70936	Currently Unavailable
70935	Currently Unavailable
70934	Currently Unavailable
70933	Currently Unavailable
70932	Currently Unavailable
70931	Currently Unavailable
70930	Currently Unavailable
70929	Currently Unavailable
70928	Currently Unavailable
70927	Currently Unavailable
70926	Currently Unavailable
70925	Currently Unavailable
70924	Currently Unavailable
70923	Currently Unavailable
70922	Currently Unavailable
70921	Currently Unavailable
70920	Currently Unavailable
70919	Currently Unavailable
70918	Currently Unavailable
70917	Currently Unavailable
70916	Currently Unavailable
70915	Currently Unavailable
70914	Currently Unavailable
70913	Currently Unavailable
70912	Currently Unavailable
70911	Currently Unavailable
70910	Currently Unavailable
70909	Currently Unavailable
70908	Currently Unavailable
70907	Currently Unavailable
70906	Currently Unavailable
70905	Currently Unavailable
70904	Currently Unavailable
70903	Currently Unavailable
70902	Currently Unavailable
70901	Currently Unavailable
70900	Currently Unavailable
70899	Currently Unavailable
70898	Currently Unavailable
70897	Currently Unavailable
70896	Currently Unavailable
70895	Currently Unavailable
70894	Currently Unavailable
70893	Currently Unavailable
70892	Currently Unavailable
70891	Currently Unavailable
70890	Currently Unavailable
70889	Currently Unavailable
70888	Currently Unavailable
70887	Currently Unavailable
70886	Currently Unavailable
70885	Currently Unavailable
70884	Currently Unavailable
70883	Currently Unavailable
70882	Currently Unavailable
70881	Currently Unavailable
70880	Currently Unavailable
70879	Currently Unavailable
70878	Currently Unavailable
70877	Currently Unavailable
70876	Currently Unavailable
70875	Currently Unavailable
70874	Currently Unavailable
70873	Currently Unavailable
70872	Currently Unavailable
70871	Currently Unavailable
70870	Currently Unavailable
70869	Currently Unavailable
70868	Currently Unavailable
70867	Currently Unavailable
70866	Currently Unavailable
70865	Currently Unavailable
70864	Currently Unavailable
70863	Currently Unavailable
70862	Currently Unavailable
70861	Currently Unavailable
70860	Currently Unavailable
70859	Currently Unavailable
70858	Currently Unavailable
70857	Currently Unavailable
70856	Currently Unavailable
70855	Currently Unavailable
70854	Currently Unavailable
70853	Currently Unavailable
70852	Currently Unavailable
70851	Currently Unavailable
70850	Currently Unavailable
70849	Currently Unavailable
70848	Currently Unavailable
70847	Currently Unavailable
70846	Currently Unavailable
70845	Currently Unavailable
70844	Currently Unavailable
70843	Currently Unavailable
70842	Currently Unavailable
70841	Currently Unavailable
70840	Currently Unavailable
70839	Currently Unavailable
70838	Currently Unavailable
70837	Currently Unavailable
70836	Currently Unavailable
70835	Currently Unavailable
70834	Currently Unavailable
70833	Currently Unavailable
70832	Currently Unavailable
70831	Currently Unavailable
70830	Currently Unavailable
70829	Currently Unavailable
70828	Currently Unavailable
70827	Currently Unavailable
70826	Currently Unavailable
70825	Currently Unavailable
70824	Currently Unavailable
70823	Currently Unavailable
70822	Currently Unavailable
70821	Currently Unavailable
70820	Currently Unavailable
70819	Currently Unavailable
70818	Currently Unavailable
70817	Currently Unavailable
70816	Currently Unavailable
70815	Currently Unavailable
70814	Currently Unavailable
70813	Currently Unavailable
70812	Currently Unavailable
70811	Currently Unavailable
70810	Currently Unavailable
70809	Currently Unavailable
70808	Currently Unavailable
70807	Currently Unavailable
70806	Currently Unavailable
70805	Currently Unavailable
70804	Currently Unavailable
70803	Currently Unavailable
70802	Currently Unavailable
70801	Currently Unavailable
70800	Currently Unavailable
70799	Currently Unavailable
70798	Currently Unavailable
70797	Currently Unavailable
70796	Currently Unavailable
70795	Currently Unavailable
70794	Currently Unavailable
70793	Currently Unavailable
70792	Currently Unavailable
70791	Currently Unavailable
70790	Currently Unavailable
70789	Currently Unavailable
70788	Currently Unavailable
70787	Currently Unavailable
70786	Currently Unavailable
70785	Currently Unavailable
70784	Currently Unavailable
70783	Currently Unavailable
70782	Currently Unavailable
70781	Currently Unavailable
70780	Currently Unavailable
70779	Currently Unavailable
70778	Currently Unavailable
70777	Currently Unavailable
70776	Currently Unavailable
70775	Currently Unavailable
70774	Currently Unavailable
70773	Currently Unavailable
70772	Currently Unavailable
70771	Currently Unavailable
70770	Currently Unavailable
70769	Currently Unavailable
70768	Currently Unavailable
70767	Currently Unavailable
70766	Currently Unavailable
70765	Currently Unavailable
70764	Currently Unavailable
70763	Currently Unavailable
70762	Currently Unavailable
70761	Currently Unavailable
70760	Currently Unavailable
70759	Currently Unavailable
70758	Currently Unavailable
70757	Currently Unavailable
70756	Currently Unavailable
70755	Currently Unavailable
70754	Currently Unavailable
70753	Currently Unavailable
70752	Currently Unavailable
70751	Currently Unavailable
70750	Currently Unavailable
70749	Currently Unavailable
70748	Currently Unavailable
70747	Currently Unavailable
70746	Currently Unavailable
70745	Currently Unavailable
70744	Currently Unavailable
70743	Currently Unavailable
70742	Currently Unavailable
70741	Currently Unavailable
70740	Currently Unavailable
70739	Currently Unavailable
70738	Currently Unavailable
70737	Currently Unavailable
70736	Currently Unavailable
70735	Currently Unavailable
70734	Currently Unavailable
70733	Currently Unavailable
70732	Currently Unavailable
70731	Currently Unavailable
70730	Currently Unavailable
70729	Currently Unavailable
70728	Currently Unavailable
70727	Currently Unavailable
70726	Currently Unavailable
70725	Currently Unavailable
70724	Currently Unavailable
70723	Currently Unavailable
70722	Currently Unavailable
70721	Currently Unavailable
70720	Currently Unavailable
70719	Currently Unavailable
70718	Currently Unavailable
70717	Currently Unavailable
70716	Currently Unavailable
70715	Currently Unavailable
70714	Currently Unavailable
70713	Currently Unavailable
70712	Currently Unavailable
70711	Currently Unavailable
70710	Currently Unavailable
70709	Currently Unavailable
70708	Currently Unavailable
70707	Currently Unavailable
70706	Currently Unavailable
70705	Currently Unavailable
70704	Currently Unavailable
70703	Currently Unavailable
70702	Currently Unavailable
70701	Currently Unavailable
70700	Currently Unavailable
70699	Currently Unavailable
70698	Currently Unavailable
70697	Currently Unavailable
70696	Currently Unavailable
70695	Currently Unavailable
70694	Currently Unavailable
70693	Currently Unavailable
70692	Currently Unavailable
70691	Currently Unavailable
70690	Currently Unavailable
70689	Currently Unavailable
70688	Currently Unavailable
70687	Currently Unavailable
70686	Currently Unavailable
70685	Currently Unavailable
70684	Currently Unavailable
70683	Currently Unavailable
70682	Currently Unavailable
70681	Currently Unavailable
70680	Currently Unavailable
70679	Currently Unavailable
70678	Currently Unavailable
70677	Currently Unavailable
70676	Currently Unavailable
70675	Currently Unavailable
70674	Currently Unavailable
70673	Currently Unavailable
70672	Currently Unavailable
70671	Currently Unavailable
70670	Currently Unavailable
70669	Currently Unavailable
70668	Currently Unavailable
70667	Currently Unavailable
70666	Currently Unavailable
70665	Currently Unavailable
70664	Currently Unavailable
70663	Currently Unavailable
70662	Currently Unavailable
70661	Currently Unavailable
70660	Currently Unavailable
70659	Currently Unavailable
70658	Currently Unavailable
70657	Currently Unavailable
70656	Currently Unavailable
70655	Currently Unavailable
70654	Currently Unavailable
70653	Currently Unavailable
70652	Currently Unavailable
70651	Currently Unavailable
70650	Currently Unavailable
70649	Currently Unavailable
70648	Currently Unavailable
70647	Currently Unavailable
70646	Currently Unavailable
70645	Currently Unavailable
70644	Currently Unavailable
70643	Currently Unavailable
70642	Currently Unavailable
70641	Currently Unavailable
70640	Currently Unavailable
70639	Currently Unavailable
70638	Currently Unavailable
70637	Currently Unavailable
70636	Currently Unavailable
70635	Currently Unavailable
70634	Currently Unavailable
70633	Currently Unavailable
