mmrrc_id,availability,sds_status,public_display
43210,Cryo-archive,Complete,Yes
15470,ES cell line,Complete,Yes
70989,Cryo-archive,Complete,Yes
23811,ES cell line,Complete,Yes
22703,ES cell line,Complete,Yes
9843,ES cell line,Complete,Yes
27501,ES cell line,Complete,Yes
71361,Cryo-archive,Complete,Yes
46012,Currently Unavailable,In Progress,No
10672,ES cell line,Complete,Yes
8751,ES cell line,Complete,Yes
5499,ES cell line,Complete,Yes
18242,ES cell line,Complete,Yes
33112,missing,Complete,No
65772,Cryo-archive,Complete,Yes
64860,ES cell line,QC,Yes
52401,ES cell line,QC,Yes
37151,Cryo-archive,Complete,Yes
61731,ES cell line,QC,Yes
4322,ES cell line,Complete,Yes
30694,Cryo-archive,Complete,Yes
31986,ES cell line,Complete,Yes
56442,ES cell line,QC,Yes
51387,ES cell line,QC,Yes
60823,ES cell line,QC,Yes
15923,ES cell line,Complete,Yes
24287,ES cell line,Complete,Yes
23542,ES cell line,Complete,Yes
44886,Currently Unavailable,In Progress,No
45794,Currently Unavailable,In Progress,No
69301,Currently Unavailable,In Progress,No
115,Cryo-archive,Complete,Yes
42051,Cryo-archive,QC,Yes
14631,ES cell line,Complete,Yes
9510,ES cell line,Complete,Yes
27852,ES cell line,Complete,Yes
40596,Cryo-archive,Complete,Yes
47253,Cryo-archive,QC,Yes
11433,ES cell line,Complete,Yes
21085,ES cell line,Complete,Yes
26740,ES cell line,Complete,Yes
70120,Currently Unavailable,In Progress,No
53640,ES cell line,QC,Yes
54185,ES cell line,QC,Yes
19003,ES cell line,Complete,Yes
64533,ES cell line,QC,Yes
1120,ES cell line,Complete,Yes
35496,ES cell line,Complete,Yes
52952,ES cell line,QC,Yes
5860,ES cell line,Complete,Yes
56012,ES cell line,QC,Yes
64499,ES cell line,QC,Yes
61361,ES cell line,QC,Yes
37501,Cryo-archive,Complete,Yes
4772,ES cell line,Complete,Yes
11599,Cryo-archive,Complete,Yes
14261,ES cell line,Complete,Yes
42401,Cryo-archive,In Progress,Yes
545,ES cell line,Complete,Yes
69751,Currently Unavailable,QC,No
68843,Currently Unavailable,In Progress,No
23112,ES cell line,Complete,Yes
15889,Cryo-archive,Complete,Yes
46911,Cryo-archive,QC,Yes
70570,Currently Unavailable,In Progress,No
